SampleID	Study_ID	Invasive_species	Organism	Family	Environment	Sample_type	Geographical_location
MPG13011.43	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.430	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.431	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.432	MPG13011	Centaurea stoebe	Plant	Asteraceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.44	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.45	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.46	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.47	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.48	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.49	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.5	MPG13011	Centaurea stoebe	Plant	Asteraceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.50	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.51	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.52	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.53	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.54	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.55	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.56	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.57	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.58	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.59	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.6	MPG13011	Centaurea stoebe	Plant	Asteraceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.60	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.61	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.62	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.63	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.64	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.65	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.66	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.67	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.68	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.69	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.7	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.70	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.8	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.88	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.89	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.9	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.90	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.91	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.92	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.93	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.94	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.95	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.98	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
AKU-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
AKU-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
AKU-5	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
AKU-6	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
AKU-7	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
AKU-8	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
KOA-10	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
KOA-12	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
KOA-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
KOA-4	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
KOA-6	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
KOA-9	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
LAV-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
LAV-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
LAV-4	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
NLM-1	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
NLM-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
NLM-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
OLA-1	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
OLA-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
OLA-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
PMK-4	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
PMK-5	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
PUU-1	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
PUU-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
PUU-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
SRR2559243	PRJNA296487	Alianthus altissima	Plant	Simaroubaceae	Soil	Invaded	38.88553 N 78.13844 W
SRR2559244	PRJNA296487	Alianthus altissima	Plant	Simaroubaceae	Soil	Control	38.88553 N 78.13844 W
SRR2559245	PRJNA296487	Rhamnus davurica 	Plant	Rhamnaceae	Soil	Invaded	39.05923 N 78.05428 W
SRR2559246	PRJNA296487	Rhamnus davurica 	Plant	Rhamnaceae	Soil	Control	39.05923 N 78.05428 W
 SRR2559247	PRJNA296487	Microstegium vimineum	Plant	Poaceae	Soil	Invaded	37.28108 N 80.47523 W
SRR2559248	PRJNA296487	Microstegium vimineum	Plant	Poaceae	Soil	Control	37.28108 N 80.47523 W
SRR2559249	PRJNA296487	Rhamnus davurica 	Plant	Rhamnaceae	Soil	Invaded	39.05923 N 78.05428 W
SRR2559250	PRJNA296487	Rhamnus davurica 	Plant	Rhamnaceae	Soil	Control	39.05923 N 78.05428 W
SRR2559251	PRJNA296487	Alianthus altissima	Plant	Simaroubaceae	Soil	Invaded	38.88553 N 78.13844 W
SRR2559252	PRJNA296487	Alianthus altissima	Plant	Simaroubaceae	Soil	Control	38.88553 N 78.13844 W
SRR2559253	PRJNA296487	Microstegium vimineum	Plant	Poaceae	Soil	Invaded	37.28108 N 80.47523 W
SRR2559254	PRJNA296487	Microstegium vimineum	Plant	Poaceae	Soil	Control	37.28108 N 80.47523 W
SRR3480457	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480458	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480461	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480462	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480463	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480466	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480467	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480468	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480469	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480470	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480473	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480474	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480475	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480476	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480478	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480480	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480481	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480484	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480485	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480488	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480489	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480490	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480493	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480496	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480497	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.823889 N 118.233333 W
SRR3480500	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.757222 N 118.166667 W
SRR3480501	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480502	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480503	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480504	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480507	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480508	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480509	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480510	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480514	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480515	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480516	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480519	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480520	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480521	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480523	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480526	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480527	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.857222 N 118.25 W
SRR3480528	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480529	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Invaded	37.857222 N 118.25 W
SRR3480530	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR3480531	PRJNA320310	Artemisia rothrockii	Plant	Asteraceae	Soil	Control	37.757222 N 118.166667 W
SRR5526790	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526804	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526812	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526791	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526806	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526810	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526792	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526808	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526818	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Control	43.2 N 86.45 W
SRR5526824	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526828	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526831	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526832	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526834	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526836	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526801	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526817	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526825	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526803	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526815	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526826	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526793	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526799	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526827	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526835	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526837	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526794	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526795	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526800	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526816	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526796	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526802	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5526814	PRJNA385848	Dreissena bugensis	Mussel	Dreissenidae	water	Invaded	43.2 N 86.45 W
SRR5811263	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811264	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811260	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811256	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811255	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811280	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811279	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811278	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Control	34.51 S 148.33 E
SRR5811282	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.51 S 148.33 E
SRR5811281	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.51 S 148.33 E
SRR5811276	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.51 S 148.33 E
SRR5811275	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.51 S 148.33 E
SRR5811291	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.51 S 148.33 E
SRR5811277	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811284	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811283	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811288	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811287	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811290	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811289	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
SRR5811292	PRJNA392558	Aporrectodea trapezoides	Earthworm	Lumbricidae	Soil	Invaded	34.56 S 148.37 E
